name	type	country	administered_by	location	year_est	year_closed	display_year_est	display_year_closed	status	notes	auto_tooltip	lat	lon	size
CharlotteBay		Tourism			2022	2023						-64.33	-61.39	
ChiloéPoint		Tourism			2022	2023						-65.31	-63.58	
ChiriguanoBay		Tourism			2022	2023						-64.28	-62.31	
CiervaCove		Tourism			2022	2023						-64.9	-60.53	
CockburnIsland		Tourism			2022	2023						-64.12	-56.51	
ColbeckBay		Tourism			2022	2023						-71.37	170.4	
CapeColbeck		Tourism			2022	2023						-77.7	-158.1	
CollinsBay		Tourism			2022	2023						-65.21	-64.4	
CombRidge		Tourism			2022	2023						-63.55	-57.28	
ConesaPoint		Tourism			2022	2023						-64.52	-62.5	
CoronationIsland		Tourism			2022	2023						-60.37	-45.35	
CoulmanIsland		Tourism			2022	2023						-73.28	169.45	
CroftBay		Tourism			2022	2023						-64	-57.45	
CrokerPassage		Tourism			2022	2023						-64	-61.42	
CapeCrozier		Tourism			2022	2023						-77.31	169.24	
CrystalSound		Tourism			2022	2023						-66.23	-66.3	
CurtissBay		Tourism			2022	2023						-64.2	-60.47	
CuvervilleIsland		Tourism			2022	2023						-64.41	-62.38	
D'UrvilleMonument		Tourism			2022	2023						-63.25	-56.18	
DallmannBay		Tourism			2022	2023						-64.2	-62.55	
DamoyPoint/DorianBay		Tourism			2022	2023						-64.49	-63.32	
DancoIsland		Tourism			2022	2023						-64.44	-62.37	
DangerIslands		Tourism			2022	2023						-63.25	-54.4	
DebenhamIslands		Tourism			2022	2023						-68.8	-67.7	
DeceptionIsland		Tourism			2022	2023						-62.57	-60.38	
DelaiteIsland		Tourism			2022	2023						-64.33	-62.12	
CapeDenison		Tourism			2022	2023						-67	142.4	
DetailleIsland		Tourism			2022	2023						-66.52	-66.48	
DevilIsland		Tourism			2022	2023						-63.48	-57.17	
DiscoveryBay		Tourism			2022	2023						-62.29	-59.43	
DogsLegFjord		Tourism			2022	2023						-67.43	-66.52	
DoumerIsland		Tourism			2022	2023						-64.51	-63.35	
Dumontd'UrvilleStation		Tourism			2022	2023						-66.39	140	
DuperréBay		Tourism			2022	2023						-64.27	-62.4	
DurochIslands		Tourism			2022	2023						-63.18	-57.54	
DuseBay		Tourism			2022	2023						-63.32	-57.15	
DuthiersPoint		Tourism			2022	2023						-64.48	-62.49	
EckenerPoint		Tourism			2022	2023						-64.26	-61.36	
EdinburghHill		Tourism			2022	2023						-62.33	-60.1	
ElephantIsland		Tourism			2022	2023						-61.1	-55.14	
ElephantPoint		Tourism			2022	2023						-62.41	-60.52	
EnglishStrait		Tourism			2022	2023						-62.27	-59.38	
EnterpriseIsland		Tourism			2022	2023						-64.32	-62	
ErebusandTerrorGulf		Tourism			2022	2023						-63.55	-56.4	
ErreraChannel		Tourism			2022	2023						-64.42	-62.36	
CapeEvans		Tourism			2022	2023						-77.38	166.24	
EzcurraInlet		Tourism			2022	2023						-62.9	-58.32	
FalseBay		Tourism			2022	2023						-62.43	-60.22	
FalseIsland		Tourism			2022	2023						-64.31	-62.53	
FalseIslandPoint		Tourism			2022	2023						-63.55	-57.2	
FildesPeninsula		Tourism			2022	2023						-62.12	-58.58	
FishIslands		Tourism			2022	2023						-66.2	-65.25	
FortPoint		Tourism			2022	2023						-62.34	-59.34	
PortFoster		Tourism			2022	2023						-62.57	-60.39	
FournierBay		Tourism			2022	2023						-64.31	-63.6	
FoynHarbor		Tourism			2022	2023						-64.33	-62.1	
FoynIsland		Tourism			2022	2023						-71.56	171.04	
FranklinIsland		Tourism			2022	2023						-76.5	168.19	
FrenchPassage		Tourism			2022	2023						-65.1	-64.2	
FridtjofSound		Tourism			2022	2023						-63.34	-56.43	
GabrieldeCastillaStation		Tourism			2022	2023						-62.58	-60.4	
GalindezIsland		Tourism			2022	2023						-65.15	-64.15	
GandIsland		Tourism			2022	2023						-64.24	-62.51	
GastonIslands		Tourism			2022	2023						-64.28	-61.5	
O'HigginsStation		Tourism			2022	2023						-63.19	-57.54	
GeorgeVISound		Tourism			2022	2023						-71	-68	
GerlacheStrait		Tourism			2022	2023						-64.3	-62.2	
GibbonBay		Tourism			2022	2023						-60.39	-45.11	
GibbsIsland		Tourism			2022	2023						-61.28	-55.34	
GirardBay		Tourism			2022	2023						-65.8	-64	
GoudierIsland		Tourism			2022	2023						-64.5	-63.3	
GourdinIsland		Tourism			2022	2023						-63.12	-57.18	
GrahamPassage		Tourism			2022	2023						-64.24	-61.31	
GrandidierChannel		Tourism			2022	2023						-65.35	-64.45	
GuepratteIsland		Tourism			2022	2023						-64.3	-63	
TheGullet		Tourism			2022	2023						-67.1	-67.38	
GuyouIslands		Tourism			2022	2023						-65.3	-63.24	
HalfMoonIsland-ChinstrapColony		Tourism			2022	2023						-62.36	-59.55	
CapeHallett		Tourism			2022	2023						-72.19	170.16	
HannahPoint		Tourism			2022	2023						-62.39	-60.37	
HanusseBay		Tourism			2022	2023						-66.57	-67.3	
HarryIsland		Tourism			2022	2023						-64.8	-61.59	
HerbertSound		Tourism			2022	2023						-63.55	-57.4	
HeroinaIsland		Tourism			2022	2023						-63.24	-54.36	
HiddenBay		Tourism			2022	2023						-65.2	-63.46	
HoldfastPoint		Tourism			2022	2023						-66.28	-66.21	
HopeBay		Tourism			2022	2023						-63.23	-57	
HorseshoeIsland		Tourism			2022	2023						-67.51	-67.12	
HovgaardIsland		Tourism			2022	2023						-65.8	-64.8	
HughesBay		Tourism			2022	2023						-64.14	-61.13	
HughesBay		Tourism			2022	2023						-64.13	-61.2	
HutPoint		Tourism			2022	2023						-77.5	166.38	
HydrurgaRocks		Tourism			2022	2023						-64.8	-61.37	
JabetPeak		Tourism			2022	2023						-64.49	-63.28	
JamesRossIsland		Tourism			2022	2023						-64.1	-57.45	
JennyIsland		Tourism			2022	2023						-67.44	-68.24	
JouglaPoint		Tourism			2022	2023						-64.49	-63.3	
KayakBay		Tourism			2022	2023						-64.18	-62.13	
KingGeorgeBay		Tourism			2022	2023						-62.6	-58.5	
LagarrigueCove		Tourism			2022	2023						-64.39	-62.34	
LagoonIsland		Tourism			2022	2023						-67.35	-68.16	
LainezPoint		Tourism			2022	2023						-67.41	-67.49	
LallemandFjord		Tourism			2022	2023						-67.5	-66.45	
LapeyrèreBay		Tourism			2022	2023						-64.24	-63.15	
LarsenInlet		Tourism			2022	2023						-64.25	-59.28	
LaurieIsland		Tourism			2022	2023						-60.44	-44.37	
LavoisierIsland		Tourism			2022	2023						-66.12	-66.44	
LazarevBay		Tourism			2022	2023						-69.28	-72.4	
LecointeIsland		Tourism			2022	2023						-64.16	-62.1	
Lefèvre-UtilePoint		Tourism			2022	2023						-64.5	-63.31	
LeithCove		Tourism			2022	2023						-64.52	-62.5	
LemaireChannel		Tourism			2022	2023						-65.4	-63.57	
LemaireIsland		Tourism			2022	2023						-64.49	-62.57	
LiardIsland		Tourism			2022	2023						-66.51	-67.25	
LiegeIsland		Tourism			2022	2023						-64.2	-61.55	
LindbladCove		Tourism			2022	2023						-63.51	-59.27	
LionSound		Tourism			2022	2023						-64.4	-63.9	
LivingstonIsland		Tourism			2022	2023						-62.36	-60.3	
CapeLookout		Tourism			2022	2023						-61.16	-55.12	
LystadBay		Tourism			2022	2023						-67.5	-67.17	
MargueriteBay		Tourism			2022	2023						-68.3	-68.3	
MartelInlet		Tourism			2022	2023						-62.5	-58.22	
MathaStrait		Tourism			2022	2023						-66.33	-67.26	
MatthewIsland		Tourism			2022	2023						-60.44	-45.6	
MaxwellBay,KingGeorgeIsland		Tourism			2022	2023						-62.15	-58.51	
McFarlaneStrait		Tourism			2022	2023						-62.32	-59.55	
McMurdoSound		Tourism			2022	2023						-77.31	165.1	
McMurdoStation		Tourism			2022	2023						-77.5	166.4	
MelchiorIslands		Tourism			2022	2023						-64.19	-62.57	
MertzGlacierTongue		Tourism			2022	2023						-67.1	145.3	
MeusnierPoint		Tourism			2022	2023						-64.32	-61.37	
MikkelsenHarbor(D'Hainaut)		Tourism			2022	2023						-63.54	-60.47	
MonroeIsland		Tourism			2022	2023						-60.36	-46.3	
MoubrayBay		Tourism			2022	2023						-72.11	170.15	
MoureauxIslands		Tourism			2022	2023						-65.5	-63.8	
MudgePassage		Tourism			2022	2023						-66.2	-65.5	
MurrayHarbour		Tourism			2022	2023						-64.21	-61.34	
NansenIsland		Tourism			2022	2023						-64.35	-62.6	
TheNaze		Tourism			2022	2023						-63.57	-57.32	
NekoHarbor		Tourism			2022	2023						-64.5	-62.33	
NelsonIsland		Tourism			2022	2023						-62.18	-59.3	
NenyFjord		Tourism			2022	2023						-68.16	-66.49	
NeptunesBellows		Tourism			2022	2023						-63	-60.34	
NeumayerChannel		Tourism			2022	2023						-64.47	-63.3	
SablePinnacles		Tourism			2022	2023						-64.4	-62.34	
OrcadasStation		Tourism			2022	2023						-60.44	-44.44	
OrneHarbor		Tourism			2022	2023						-64.37	-62.32	
OrneIslands		Tourism			2022	2023						-64.4	-62.4	
PalaverPoint		Tourism			2022	2023						-64.9	-61.45	
PalmerStation		Tourism			2022	2023						-64.46	-64.5	
HuntIsland		Tourism			2022	2023						-64.2	-62.8	
FreudPassage		Tourism			2022	2023						-64.17	-62.8	
ParadiseHarbor		Tourism			2022	2023						-64.51	-62.54	
PatagoniaBay		Tourism			2022	2023						-64.27	-63.12	
PauletIsland		Tourism			2022	2023						-63.35	-55.47	
PeltierChannel		Tourism			2022	2023						-64.52	-63.32	
PendulumCove		Tourism			2022	2023						-62.56	-60.36	
PenguinIsland		Tourism			2022	2023						-62.6	-57.54	
PenolaStrait		Tourism			2022	2023						-65.1	-64.7	
PeterIIsland		Tourism			2022	2023						-68.47	-90.35	
PetermannIsland		Tourism			2022	2023						-65.1	-64.1	
PineIslandBay		Tourism			2022	2023						-74.5	-102.4	
PlataPassage		Tourism			2022	2023						-64.4	-62.1	
PleneauIsland		Tourism			2022	2023						-65.6	-64.4	
PortalPoint		Tourism			2022	2023						-64.3	-61.46	
PossessionIsland		Tourism			2022	2023						-71.52	-171.12	
PotterCove		Tourism			2022	2023						-62.14	-58.42	
PourquoiPasIsland		Tourism			2022	2023						-67.41	-67.28	
PresidentHead		Tourism			2022	2023						-62.44	-61.12	
FreiStation		Tourism			2022	2023						-62.12	-58.57	
PrinceGustavChannel		Tourism			2022	2023						-63.5	-58.15	
ProspectPoint		Tourism			2022	2023						-66.1	-65.21	
RabotPoint		Tourism			2022	2023						-64.16	-57.18	
BailyHead		Tourism			2022	2023						-62.58	-60.29	
RecessCove		Tourism			2022	2023						-64.3	-61.32	
RedRockRidge		Tourism			2022	2023						-68.18	-67.8	
RobertPoint		Tourism			2022	2023						-62.28	-59.23	
RobertsonIsland		Tourism			2022	2023						-65.1	-59.37	
RomanFourPromontory		Tourism			2022	2023						-68.13	-66.56	
RongeIslandKetleyPoint		Tourism			2022	2023						-64.42	-62.46	
RongeIsland/GeorgesPoint		Tourism			2022	2023						-64.43	-62.41	
RongeIsland/KerrPoint		Tourism			2022	2023						-64.42	-62.37	
RossIceShelf		Tourism			2022	2023						-81.3	-175	
RossSea		Tourism			2022	2023						-75	-175	
RotheraStation		Tourism			2022	2023						-67.34	-68.7	
CapeRoyds		Tourism			2022	2023						-77.32	-166.8	
SadlerPoint		Tourism			2022	2023						-64.42	-62.4	
SalmonBay		Tourism			2022	2023						-77.55	164.33	
SalvesenCove		Tourism			2022	2023						-64.24	-61.2	
SanMartinStation		Tourism			2022	2023						-68.7	-67.6	
SandefjordBay		Tourism			2022	2023						-60.37	-46.3	
SchollaertChannel		Tourism			2022	2023						-64.18	-62.3	
SealIslands		Tourism			2022	2023						-60.34	-55.14	
ShingleCove		Tourism			2022	2023						-60.39	-45.34	
ShroveCove		Tourism			2022	2023						-63.59	-57.5	
SiffreyPoint		Tourism			2022	2023						-63.13	-57.13	
SignyIslandStation		Tourism			2022	2023						-66.55	-67.1	
SimsIsland		Tourism			2022	2023						-73.21	-78.19	
SipleIsland		Tourism			2022	2023						-73.39	-125	
SkontorpCove		Tourism			2022	2023						-64.54	-62.52	
SkottsbergPoint		Tourism			2022	2023						-63.55	-60.49	
SmiggersIsland		Tourism			2022	2023						-65.27	-65.19	
SnowHillIsland-IceEdgeLanding		Tourism			2022	2023						-64.28	-57.1	
SnowHillIsland-EmperorPenguinColony		Tourism			2022	2023						-64.3	-57.26	
SnowHillIsland-Nordenskjold'sHut		Tourism			2022	2023						-64.28	-57.12	
SnowIsland		Tourism			2022	2023						-62.47	-61.23	
CapeSobral		Tourism			2022	2023						-64.34	-59.33	
SouthOrkneyIslands		Tourism			2022	2023						-60.35	-45.3	
SouthShetlandIslands		Tourism			2022	2023						-62	-58	
SpertIsland		Tourism			2022	2023						-63.51	-60.57	
SpigotPeak		Tourism			2022	2023						-64.38	-62.34	
StefanIcePiedmont		Tourism			2022	2023						-66.4	-66.3	
CapeHerschel		Tourism			2022	2023						-64.4	-61.2	
StoningtonIsland		Tourism			2022	2023						-68.11	-67	
StonyPoint		Tourism			2022	2023						-64.54	-62.55	
StygianCove		Tourism			2022	2023						-60.4	-45.36	
SunshineGlacier		Tourism			2022	2023						-60.39	-45.32	
KinnesCove/MadderCliffs		Tourism			2022	2023						-63.18	-56.27	
TayHead		Tourism			2022	2023						-63.21	-55.34	
TaylorValley/CanadaGlacier		Tourism			2022	2023						-77.39	162.56	
TelefonBay		Tourism			2022	2023						-62.56	-60.4	
TerraFirmaIslands		Tourism			2022	2023						-68.42	-67.32	
TrinityIsland		Tourism			2022	2023						-54	-38.1	
TrinityPeninsula		Tourism			2022	2023						-63.37	-58.2	
AitchoIslands-BarrientosIsland		Tourism			2022	2023						-62.24	-59.47	
TurretPoint		Tourism			2022	2023						-62.5	-57.55	
TuttonPoint		Tourism			2022	2023						-66.53	-67.35	
CapeTuxen		Tourism			2022	2023						-65.16	-64.8	
TwoHummockIsland		Tourism			2022	2023						-64.8	-61.42	
UsefulIsland		Tourism			2022	2023						-64.43	-62.52	
CapeValentine		Tourism			2022	2023						-61.6	-54.39	
VegaIsland		Tourism			2022	2023						-63.5	-57.25	
ViewPoint		Tourism			2022	2023						-63.33	-57.22	
VortexIsland		Tourism			2022	2023						-63.44	-57.38	
WalkerBay(byHannahPoint)		Tourism			2022	2023						-62.38	-60.42	
WalkerPoint		Tourism			2022	2023						-61.8	-54.42	
WaterboatPoint/GonzalezVidelaStation		Tourism			2022	2023						-64.49	-62.51	
WebbIsland		Tourism			2022	2023						-67.27	-67.56	
WeddellSea		Tourism			2022	2023						-72	-45	
WhalersBay		Tourism			2022	2023						-62.59	-60.34	
BayofWhales		Tourism			2022	2023						-78.3	-164.2	
PointWild		Tourism			2022	2023						-61.6	-54.52	
WilhelminaBay		Tourism			2022	2023						-64.38	-62.1	
WinterIsland		Tourism			2022	2023						-65.15	-64.16	
YalourIslands		Tourism			2022	2023						-65.14	-64.1	
YankeeHarbor		Tourism			2022	2023						-62.32	-59.47	
SjogrenInlet		Tourism			2022	2023						-64.14	-59	
SwiftBay		Tourism			2022	2023						-64.22	-57.46	
VernadskyStation		Tourism			2022	2023						-65.14	-64.15	
SkogBay		Tourism			2022	2023						-66.52	-66.3	
CuvervilleIsland		Tourism			2021	2022						-64.41	-62.38	13510
NekoHarbor		Tourism			2021	2022						-64.5	-62.33	11854
DancoIsland		Tourism			2021	2022						-64.44	-62.37	10631
LemaireChannel		Tourism			2021	2022						-65.4	-63.57	9568
WhalersBay		Tourism			2021	2022						-62.59	-60.34	9001
HalfMoonIsland-ChinstrapColony		Tourism			2021	2022						-62.36	-59.55	8806
GerlacheStrait		Tourism			2021	2022						-64.3	-62.2	8767
BrownBluff		Tourism			2021	2022						-63.32	-56.55	7921
PortalPoint		Tourism			2021	2022						-64.3	-61.46	7360
DamoyPoint/DorianBay		Tourism			2021	2022						-64.49	-63.32	6900
BransfieldStrait		Tourism			2021	2022						-63	-59	6629
ParadiseHarbor		Tourism			2021	2022						-64.51	-62.54	5952
MikkelsenHarbor(D'Hainaut)		Tourism			2021	2022						-63.54	-60.47	5674
WilhelminaBay		Tourism			2021	2022						-64.38	-62.1	4924
AntarcticSound		Tourism			2021	2022						-63.2	-56.45	4760
PleneauIsland		Tourism			2021	2022						-65.6	-64.4	4632
FournierBay		Tourism			2021	2022						-64.31	-63.6	4629
CiervaCove		Tourism			2021	2022						-64.9	-60.53	4578
PetermannIsland		Tourism			2021	2022						-65.1	-64.1	4339
OrneHarbor		Tourism			2021	2022						-64.37	-62.32	4168
SkontorpCove		Tourism			2021	2022						-64.54	-62.52	4107
NeumayerChannel		Tourism			2021	2022						-64.47	-63.3	3844
PauletIsland		Tourism			2021	2022						-63.35	-55.47	3801
JouglaPoint		Tourism			2021	2022						-64.49	-63.3	3430
YankeeHarbor		Tourism			2021	2022						-62.32	-59.47	3174
TelefonBay		Tourism			2021	2022						-62.56	-60.4	3056
PointWild		Tourism			2021	2022						-61.6	-54.52	3017
EnterpriseIsland		Tourism			2021	2022						-64.32	-62	2967
PortCharcot		Tourism			2021	2022						-65.4	-64	2836
ErreraChannel		Tourism			2021	2022						-64.42	-62.36	2691
FoynHarbor		Tourism			2021	2022						-64.33	-62.1	2633
WeddellSea		Tourism			2021	2022						-72	-45	2630
MelchiorIslands		Tourism			2021	2022						-64.19	-62.57	2624
